id,company,position,salary,city,remark,score,time,number
165,今日头条,后台开发工程师,27w,北京,"本科， 批发价。 27w是包括加班费在内， 头条这边隔周周日要上一天班， 所以会多发10%的加班费。",19,"2016-10-27 20:36:24",1247
166,TP-Link,erp工程师,18-20w,深圳,硕士，双985，12*16,11,"2016-10-27 20:36:57",952
167,JLY,算法工程师,60w,北京,我是JLY，是special,-1,"2016-10-27 20:38:06",104
168,网易游戏,研发工程师,24.8万,广州,互娱，研发里的最低价，根据本科硕士学校+专业+是否会计算机图形学这3点一刀切定价,12,"2016-10-27 20:40:21",1230
169,吉利汽车动力总成研究院,研发,浙大sp月薪可达7-8k，海外可12k,宁波杭州湾,批发价是5.5k基本工资+1.05k补助,10,"2016-10-27 20:41:50",586
170,爱奇艺,算法工程师,22.4,北京,"硕士，小sp， 16k * 14，hr说可能发15薪，500饭补，工作环境一般",7,"2016-10-27 20:41:56",761
171,新华三H3C,技服,11k*12~16,杭州,杭州空缺很多，几年内基本可定岗杭州,10,"2016-10-27 20:43:11",729
172,百词斩,Android,15*13,成都,,4,"2016-10-27 20:47:01",629
173,Indeed,SDE,900W日元,东京,应该是sp档,10,"2016-10-27 20:49:15",796
174,招银网络科技,软件开发岗,9920*24~27,深圳,开发岗批发,18,"2016-10-27 20:56:42",784
175,今日头条,算法工程师,35w,北京,"sp
无期权
随便吃不要钱
隔周加班 一年另外有约3w加班费
有1.5k/月的就近租房补贴",46,"2016-10-27 21:00:38",5458
176,有赞,后台开发,"10-15K * 14",杭州,居然是范围薪资到岗或者实习表现来决定，很坑,4,"2016-10-27 21:01:05",328
177,同花顺,数据分析,11-15W,杭州,"硕士，包午、晚饭，月薪9k,年终奖1~5个月",4,"2016-10-27 21:01:28",497
178,"乐视 ",前端开发,16x（14-16）,北京,16k每月；年终32k；公积金12%；饭补15每天；据悉，这是今年研究生的批发价；sp已知为19.2k,10,"2016-10-27 21:02:22",565
179,平安科技,测试,17*14-15,深圳,,-2,"2016-10-27 21:03:19",222
180,滴滴,算法工程师,30,北京,硕sp,-1,"2016-10-27 21:05:04",632
181,网易有道,iOS,21w,广州,,4,"2016-10-27 21:08:20",800
182,科大讯飞,软件测试,10—11W,合肥,普通硕士，税前7500，年终2到4个月工资,4,"2016-10-27 21:08:40",532
183,山石网科,开发工程师,12*14,北京,只要硕士，很有潜力的一家公司,6,"2016-10-27 21:10:17",183
184,中电38所,软件设计师,税后10万,合肥,硕士，批发价，税后10万,8,"2016-10-27 21:10:41",710
185,58,后台,16-18W,北京,本科,4,"2016-10-27 21:13:40",594
186,数码视讯,嵌入式,9.4k*14,西安,另每月有1.3k的加班费，加班到晚上有餐补,7,"2016-10-27 21:21:20",315
187,多益网络,游戏研发工程师,17W,广州,包吃住，但是加班比较多,5,"2016-10-27 21:23:20",447
188,乐视,射频工程师,25w,北京,,4,"2016-10-27 21:24:44",389
189,创新工场涂鸦移动,游戏研发工程师,12*14,北京,项目有提成。包中餐，起薪太低,5,"2016-10-27 21:25:29",358
190,恒生,Java工程师,14k*14-16,杭州,佩了点股权,5,"2016-10-27 21:30:52",729
191,Docomo,标准研究员,18.2万,北京,统一标准价，12800乘13，加上每个月1000补助，低的不行了。,5,"2016-10-27 21:32:47",239
192,腾讯,后台开发工程师,24w,深圳,"14*16+1.5w房补=24w
深圳给毕业生房补2.5w/y ，必须自己申请",12,"2016-10-27 21:36:19",819
193,小米,MIUI后端开发,22-23.5,北京,硕士批发,5,"2016-10-27 21:39:12",686
195,腾讯,基础研究,21.5w-50w,北京,"21.5w，12.5k（白菜）；24w，14k（迷你sp）；28w，15.5k（sp）；30w，17k（ssp）；32w，18.5k（技术大咖，t2.1）;40w+10w股票，25k（技术大咖 t3.1）",48,"2016-10-27 21:43:09",66342
196,镭神,嵌入式软件,10K*13,深圳,饭餐补600,3,"2016-10-27 21:51:16",210
197,深信服,软件测试工程师,16-19,北京，深圳,硕士批发价，16-19，有600-900餐补。,2,"2016-10-27 21:53:12",634
